id,old_comment,new_comment,old_code,new_code,score,idx,label
davideas_FlexibleAdapter-19-1905,"always true , if not overridden","always false , if not overridden",protected boolean should activate view while swiping ( ) { return true ; },protected boolean should activate view while swiping ( ) { return false ; },1.0,2513,1
real-logic_aeron-28-1207,"the same as publication # offer ( direct buffer , int , int ) .","the same as publication # offer ( direct buffer , int , int ) when in cluster . state # leader otherwise 1 .","public long offer ( final long correlation id , final direct buffer buffer , final int offset , final int length , final reserved value supplier reserved value supplier ) { session header encoder . correlation id ( correlation id ) ; session header encoder . timestamp ( cluster . time ms ( ) ) ; message buffer . reset ( buffer , offset , length ) ; return response publication . offer ( vectors , reserved value supplier ) ; }","public long offer ( final long correlation id , final direct buffer buffer , final int offset , final int length , final reserved value supplier reserved value supplier ) { if ( cluster . state ( ) ! = cluster . state . leader ) { return num ; } session header encoder . correlation id ( correlation id ) ; session header encoder . timestamp ( cluster . time ms ( ) ) ; message buffer . reset ( buffer , offset , length ) ; return response publication . offer ( vectors , reserved value supplier ) ; }",0.641023576259613,2746,1
eclipse-vertx_vert.x-22-555,the current argument model instance,the current argument instance,public argument model set required ( boolean required ) { this . required = required ; return this ; },public argument set required ( boolean required ) { this . required = required ; return this ; },0.5331626931826273,5139,1
Blankj_AndroidUtilCode-59-152,true : false :,true : success false : fail,"public static boolean install app silent ( final string file path ) { file file = file utils . get file by path ( file path ) ; if ( ! file utils . is file exists ( file ) ) return false ; boolean is root = is device rooted ( ) ; string command = str + file path ; shell utils . command result command result = shell utils . exec cmd ( command , is root ) ; if ( command result . success msg ! = null & & command result . success msg . to lower case ( ) . contains ( str ) ) { return true ; } else { command = str + file path ; command result = shell utils . exec cmd ( command , is root , true ) ; return command result . success msg ! = null & & command result . success msg . to lower case ( ) . contains ( str ) ; } }",public static boolean install app silent ( final string file path ) { return install app silent ( get file by path ( file path ) ) ; },0.30533018459876377,690,0
nicoulaj_idea-markdown-1-6745,todo add javadoc comment .,the psi element matching the element type of the ast node .,@ not null public psi element create element ( astnode node ) { return markdown psi creator . create element ( node ) ; },@ not null public psi element create element ( astnode node ) { return new markdown psi element impl ( node ) ; },0.24528971314430237,3463,0
eclipse-vertx_vert.x-10-545,the result,the resulting sequence,"public cyclic sequence < t > remove ( t element ) { int len = elements . length ; for ( int i = num ; i < len ; i + + ) { if ( objects . equals ( element , elements [ i ] ) ) { if ( len > num ) { object [ ] copy = new object [ len - num ] ; system . arraycopy ( elements , num , copy , num , i ) ; system . arraycopy ( elements , i + num , copy , i , len - i - num ) ; return new cyclic sequence < > ( pos . get ( ) , copy ) ; } else { return new cyclic sequence < > ( ) ; } } } return this ; }","public concurrent cyclic sequence < t > remove ( t element ) { int len = elements . length ; for ( int i = num ; i < len ; i + + ) { if ( objects . equals ( element , elements [ i ] ) ) { if ( len > num ) { object [ ] copy = new object [ len - num ] ; system . arraycopy ( elements , num , copy , num , i ) ; system . arraycopy ( elements , i + num , copy , i , len - i - num ) ; return new concurrent cyclic sequence < > ( pos . get ( ) % copy . length , copy ) ; } else { return new concurrent cyclic sequence < > ( ) ; } } } return this ; }",0.3054082915186882,2246,0
apache_xalan-j-180-5994,object at given index,"value at given index . if that value wasn ' t previously set , the result is undefined for performance reasons . it may throw an exception ( see below ) , may return zero , or ( if set size has previously been used ) may return stale data .",public byte element at ( int i ) { if ( i < m _ blocksize ) return m _ map0 [ i ] ; if ( i > = m _ first free ) return byte . min _ value ; int index = i / m _ blocksize ; int offset = i % m _ blocksize ; byte [ ] block = m _ map [ index ] ; if ( null = = block ) return byte . min _ value ; return block [ offset ] ; },public byte element at ( int i ) { if ( i < m _ blocksize ) return m _ map0 [ i ] ; return m _ map [ i / m _ blocksize ] [ i % m _ blocksize ] ; },0.12590575714906058,2565,0
ReactiveX_RxJava-197-3123,the value returned by the hook,"the value returned by the hook , not null","public static scheduler init io scheduler ( scheduler default scheduler ) { function < scheduler , scheduler > f = on init io handler ; if ( f = = null ) { return default scheduler ; } return apply ( f , default scheduler ) ; }","public static scheduler init io scheduler ( callable < scheduler > default scheduler ) { object helper . require non null ( default scheduler , str ) ; function < callable < scheduler > , scheduler > f = on init io handler ; if ( f = = null ) { return call require non null ( default scheduler ) ; } return apply require non null ( f , default scheduler ) ; }",0.37365303188562393,4302,1
realm_realm-java-150-537,an object,the object found or null if no object matches the query conditions .,public e find first ( ) { realm results < e > result = find all ( ) ; if ( result . size ( ) > num ) { return find all ( ) . get ( num ) ; } else { return null ; } },"public e find first ( ) { long row index = this . query . find ( ) ; if ( row index > = num ) { return realm . get ( clazz , row index ) ; } else { return null ; } }",0.2390751155714194,2925,0
google_closure-templates-292-4677,the input text node with context transitions marked .,the next context transition .,"public static sliced raw text node process raw text ( raw text node raw text node , context context ) throws soy autoescape exception { sliced raw text node sliced raw text node = new sliced raw text node ( raw text node , context ) ; string raw text = raw text node . get raw text ( ) ; int offset = num ; int length = raw text . length ( ) ; while ( offset < length ) { string unprocessed raw text = raw text . substring ( offset ) ; int start offset = offset ; int end offset ; context start context = context ; context end context ; int attr value end = find end of attribute value ( unprocessed raw text , context . delim type ) ; if ( attr value end = = - num ) { raw text context updater cu = new raw text context updater ( ) ; cu . process next token ( raw text node , offset , unprocessed raw text , context ) ; end offset = offset + cu . num chars consumed ; end context = cu . next ; } else { int unprocessed raw text len = unprocessed raw text . length ( ) ; int attr end = attr value end < unprocessed raw text len ? attr value end + context . delim type . text . length ( ) : - num ; string attr value tail = unescape utils . unescape html ( unprocessed raw text . substring ( num , attr value end ) ) ; raw text context updater cu = new raw text context updater ( ) ; context attr context = start context ; while ( attr value tail . length ( ) ! = num ) { cu . process next token ( raw text node , offset , attr value tail , attr context ) ; attr value tail = attr value tail . substring ( cu . num chars consumed ) ; attr context = cu . next ; } if ( attr end ! = - num ) { end offset = offset + attr end ; end context = context . to builder ( ) . with state ( html context . html _ tag ) . without attr context ( ) . build ( ) ; } else { if ( attr value end ! = unprocessed raw text len ) { throw new illegal state exception ( ) ; } end offset = length ; end context = attr context ; } } sliced raw text node . add slice ( start offset , end offset , start context ) ; context = end context ; offset = end offset ; } sliced raw text node . set end context ( context ) ; return sliced raw text node ; }","public static context process raw text ( raw text node raw text node , context context ) throws soy autoescape exception { string raw text = raw text node . get raw text ( ) ; int offset = num ; int length = raw text . length ( ) ; while ( offset < length ) { string unprocessed raw text = raw text . substring ( offset ) ; int end offset ; context start context = context ; context end context ; int attr value end = find end of attribute value ( unprocessed raw text , context . delim type ) ; if ( attr value end = = - num ) { raw text context updater cu = new raw text context updater ( ) ; cu . process next token ( raw text node , offset , unprocessed raw text , context ) ; end offset = offset + cu . num chars consumed ; end context = cu . next ; } else { int unprocessed raw text len = unprocessed raw text . length ( ) ; int attr end = attr value end < unprocessed raw text len ? attr value end + context . delim type . text . length ( ) : - num ; string attr value tail = unescape utils . unescape html ( unprocessed raw text . substring ( num , attr value end ) ) ; raw text context updater cu = new raw text context updater ( ) ; context attr context = start context ; while ( attr value tail . length ( ) ! = num ) { cu . process next token ( raw text node , offset , attr value tail , attr context ) ; attr value tail = attr value tail . substring ( cu . num chars consumed ) ; attr context = cu . next ; } if ( attr end ! = - num ) { end offset = offset + attr end ; end context = context . to builder ( ) . with state ( html context . html _ tag ) . without attr context ( ) . build ( ) ; } else { if ( attr value end ! = unprocessed raw text len ) { throw new illegal state exception ( ) ; } end offset = length ; end context = attr context ; } } context = end context ; offset = end offset ; } return context ; }",0.33188354472319287,405,0
